Precipitation,WindDirection,WindSpeed,Temperature,Pressure
0,321.9,3.9,11,1028.1
0,80.3,1.3,15,1030.3
0,165,1.9,7,1032.5
0,188.7,2.5,5,1030.7
0,204.7,2.6,10,1028.4
0,289,3.1,12,1025.4
0,271.8,3.4,8,1025.2
0,312.8,1.3,5,1024.8
0,289.1,1.9,7,1025.7
0,200.5,2.2,11,1023.2
0,157.7,1.5,4,1021.9
0,173.3,5,7,1018.4
0,174.6,5.6,10,1017
0,232.3,5.1,11,1015.1
0,277.1,6.3,6,1020.5
0,244.6,4.7,5,1023.4
0.1,240.3,6.7,10,1022.7
0.4,226.5,4.8,7,1019.3
0,271.8,3,5,1017.9
0.9,288.4,4.4,4,1017.3
0,312.8,6.9,7,1018.8
0,311.7,5.9,6,1021.6
0,302,4.7,4,1024.3
0,314.5,3.7,4,1026.6
0.4,300.7,4.6,8,1027.7
0.2,251.7,4.4,6,1025.2
0.1,281.8,5.3,7,1023.3
0,296.7,5.5,7,1022.6
0,316.9,5.6,10,1022.7
0,303.9,2.8,10,1021.7
0,284.6,4.5,7,1021.6
0,282.2,4.6,7,1021.1
0,298.7,6.1,12,1021.3
0,286.3,4.8,11,1020.4
0,289.7,4.8,7,1021
0,288.9,4.6,7,1021.1
0,313.8,4,12,1021.4
0,346.4,2.1,11,1021.4
